,team_name,goals,attempts,attempts_on_target,attempts_off_target,attempts_blocked,matches_appearance,passes_accuracy,passes_attempted,passes_completed,ball_possession,cross_accuracy,cross_attempted,cross_completed,free_kick,attacks,assists,corners,offsides,recovered_ball,tackles,clearance_attempted,saves,goals_conceded,own_goal_conceded,saves_on_penalty,clean_sheet,fouls_committed,fouls_suffered,yellow_cards,red_cards
0,Portugal,3.6,19.3,8.1,6.9,4.3,1.0,89.6,683.4,613.6,63.3,28.17,24.5,6.9,10.8,52.9,2.8,7.2,2.5,42.2,8.5,10.1,1.6,0.2,0.0,0.0,0.9,9.2,9.8,1.1,0.0
1,France,3.625,20.75,7.875,7.5,5.375,1.0,90.0,667.625,603.0,60.13,31.15,22.875,7.125,11.5,50.125,2.125,5.625,1.875,37.125,12.375,10.625,1.875,0.375,0.0,0.125,0.75,9.875,9.5,1.5,0.0
2,Spain,3.125,17.75,6.75,7.0,4.0,1.0,90.75,726.875,660.0,67.63,28.58,26.25,7.5,11.0,58.125,2.75,6.875,2.25,34.5,8.625,9.25,1.375,0.625,0.0,0.0,0.5,9.75,9.375,2.0,0.0
3,Switzerland,2.2,16.3,5.9,7.3,3.1,1.0,89.4,670.9,600.5,66.41,24.61,25.6,6.3,10.4,49.5,1.6,5.9,2.6,35.9,7.5,11.0,1.4,1.1,0.0,0.0,0.3,9.2,8.6,1.9,0.1
4,Iceland,1.8333333333333333,11.166666666666666,4.833333333333333,3.8333333333333335,2.5,1.0,78.42,426.3333333333333,339.8333333333333,50.17,18.28,16.416666666666668,3.0,12.0,34.833333333333336,1.1666666666666667,4.5,1.0,33.833333333333336,8.5,17.833333333333332,3.4166666666666665,1.5833333333333333,0.0,0.0,0.25,12.333333333333334,9.5,2.0833333333333335,0.16666666666666666
5,Belgium,2.75,14.875,5.25,5.375,4.25,1.0,86.0,495.25,427.75,58.13,26.54,18.375,4.875,11.25,41.625,2.5,7.625,1.375,32.25,8.125,14.125,2.0,0.5,0.125,0.0,0.625,8.625,9.75,1.625,0.125
6,England,2.75,12.5,5.75,3.625,3.125,1.0,89.75,638.375,575.5,62.63,34.17,15.0,5.125,12.5,40.75,1.625,4.5,0.875,34.125,8.625,9.5,0.625,0.5,0.0,0.125,0.5,9.25,11.625,1.75,0.125
7,Slovenia,2.0,12.5,4.2,4.9,3.4,1.0,81.3,505.7,418.7,53.9,28.58,14.0,4.0,12.8,34.5,1.4,3.8,2.1,35.7,9.3,18.6,2.3,0.9,0.0,0.0,0.4,11.3,11.3,1.0,0.0
8,Denmark,1.9,15.6,5.4,6.4,3.8,1.0,87.1,688.9,601.9,64.2,27.72,26.7,7.4,13.0,54.2,1.6,8.2,0.9,37.3,8.2,10.2,1.1,1.0,0.0,0.0,0.3,8.5,10.7,1.4,0.0
9,Greece,1.9,14.3,4.5,5.3,4.5,1.0,86.0,518.5,448.9,52.4,21.5,22.8,4.9,11.0,35.9,1.4,6.8,1.9,36.6,11.1,17.5,2.9,0.8,0.0,0.1,0.5,11.2,10.0,2.8,0.2
