,team_name,goals,attempts,attempts_on_target,attempts_off_target,attempts_blocked,matches_appearance,passes_accuracy,passes_attempted,passes_completed,ball_possession,cross_accuracy,cross_attempted,cross_completed,free_kick,attacks,assists,corners,offsides,recovered_ball,tackles,clearance_attempted,saves,goals_conceded,own_goal_conceded,saves_on_penalty,clean_sheet,fouls_committed,fouls_suffered,yellow_cards,red_cards
37,Armenia,9.0,108.0,26.0,43.0,39.0,8.0,79.63,3234.0,2613.0,46.63,24.0,100.0,24.0,82.0,247.0,6.0,33.0,5.0,290.0,78.0,189.0,38.0,11.0,2.0,0.0,0.0,83.0,69.0,18.0,0.0
38,Montenegro,9.0,98.0,40.0,38.0,20.0,8.0,74.63,2650.0,1987.0,42.63,21.49,121.0,26.0,126.0,219.0,8.0,34.0,17.0,289.0,114.0,174.0,17.0,11.0,0.0,0.0,3.0,114.0,115.0,29.0,1.0
39,Belarus,9.0,97.0,30.0,44.0,23.0,10.0,74.0,3536.0,2674.0,43.6,27.01,137.0,37.0,114.0,251.0,6.0,31.0,20.0,364.0,100.0,279.0,34.0,14.0,0.0,0.0,4.0,115.0,101.0,30.0,0.0
40,Lithuania,8.0,60.0,20.0,31.0,9.0,8.0,76.25,2962.0,2284.0,43.0,31.17,77.0,24.0,107.0,189.0,7.0,19.0,14.0,324.0,114.0,208.0,42.0,14.0,0.0,0.0,1.0,106.0,87.0,17.0,1.0
41,Bulgaria,7.0,85.0,30.0,33.0,22.0,8.0,79.5,3469.0,2777.0,49.13,28.58,140.0,40.0,116.0,198.0,6.0,40.0,14.0,291.0,80.0,155.0,26.0,14.0,1.0,0.0,0.0,96.0,91.0,17.0,2.0
42,Moldova,7.0,72.0,22.0,29.0,21.0,8.0,68.88,2478.0,1765.0,40.25,22.96,122.0,28.0,108.0,243.0,3.0,29.0,12.0,328.0,107.0,213.0,23.0,10.0,0.0,0.0,2.0,125.0,97.0,24.0,1.0
43,Azerbaijan,7.0,54.0,19.0,24.0,11.0,8.0,77.63,3060.0,2406.0,46.75,20.59,68.0,14.0,113.0,191.0,6.0,27.0,10.0,263.0,105.0,179.0,34.0,17.0,1.0,0.0,2.0,94.0,93.0,23.0,2.0
44,Latvia,5.0,60.0,21.0,24.0,15.0,8.0,72.13,2180.0,1573.0,37.25,26.73,116.0,31.0,69.0,207.0,2.0,21.0,14.0,287.0,131.0,205.0,39.0,19.0,0.0,0.0,1.0,95.0,64.0,27.0,2.0
45,Estonia,3.0,55.0,14.0,30.0,11.0,9.0,71.89,2623.0,1925.0,38.12,30.38,79.0,24.0,88.0,212.0,3.0,21.0,14.0,311.0,100.0,240.0,31.0,27.0,1.0,0.0,0.0,90.0,67.0,17.0,1.0
46,Cyprus,3.0,48.0,21.0,19.0,8.0,8.0,79.25,2777.0,2239.0,37.5,22.23,54.0,12.0,101.0,143.0,2.0,15.0,11.0,251.0,93.0,149.0,25.0,28.0,0.0,0.0,0.0,70.0,88.0,18.0,1.0
47,Andorra,3.0,41.0,16.0,17.0,8.0,10.0,57.3,1896.0,1110.0,31.2,24.08,54.0,13.0,115.0,141.0,2.0,13.0,6.0,279.0,121.0,258.0,42.0,20.0,1.0,0.0,1.0,128.0,87.0,30.0,2.0
48,San Marino,3.0,34.0,9.0,16.0,9.0,10.0,65.5,2124.0,1412.0,30.7,10.42,48.0,5.0,139.0,118.0,1.0,11.0,9.0,365.0,148.0,341.0,29.0,31.0,1.0,0.0,0.0,116.0,105.0,22.0,0.0
49,Malta,2.0,51.0,11.0,21.0,19.0,8.0,78.25,2854.0,2235.0,37.75,17.34,75.0,13.0,90.0,152.0,1.0,15.0,4.0,305.0,100.0,148.0,27.0,20.0,3.0,0.0,0.0,95.0,75.0,17.0,0.0
50,Faroe Islands,2.0,41.0,6.0,22.0,13.0,8.0,75.13,3021.0,2317.0,42.88,18.9,127.0,24.0,101.0,172.0,2.0,23.0,4.0,285.0,80.0,215.0,26.0,13.0,0.0,1.0,1.0,104.0,73.0,20.0,1.0
51,Liechtenstein,1.0,42.0,15.0,19.0,8.0,10.0,63.6,1989.0,1289.0,32.8,18.87,53.0,10.0,143.0,151.0,0.0,15.0,7.0,259.0,127.0,291.0,55.0,28.0,1.0,0.0,0.0,120.0,103.0,17.0,0.0
52,Gibraltar,0.0,10.0,2.0,7.0,1.0,8.0,64.63,1620.0,1072.0,30.5,12.5,24.0,3.0,86.0,55.0,0.0,5.0,14.0,237.0,74.0,336.0,51.0,41.0,2.0,0.0,0.0,53.0,73.0,7.0,2.0
