,team_name,goals,attempts,attempts_on_target,attempts_off_target,attempts_blocked,matches_appearance,passes_accuracy,passes_attempted,passes_completed,ball_possession,cross_accuracy,cross_attempted,cross_completed,free_kick,attacks,assists,corners,offsides,recovered_ball,tackles,clearance_attempted,saves,goals_conceded,own_goal_conceded,saves_on_penalty,clean_sheet,fouls_committed,fouls_suffered,yellow_cards,red_cards
37,Wales,1.25,12.875,5.125,4.375,3.375,1.0,83.5,391.875,330.5,46.13,52.31,16.25,8.5,17.125,28.625,0.75,3.5,2.0,32.875,3.625,18.875,2.375,0.75,0.125,0.0,0.375,12.75,14.25,2.625,0.0
38,Georgia,0.8,12.5,3.7,5.2,3.6,1.0,80.5,455.2,370.5,51.0,43.92,14.8,6.5,11.8,27.3,0.6,3.3,1.7,35.4,3.4,18.9,3.6,1.2,0.0,0.0,0.4,13.8,9.5,2.3,0.0
39,Republic of Ireland,0.7777777777777778,12.222222222222221,2.888888888888889,6.111111111111111,3.2222222222222223,1.0,78.0,451.22222222222223,354.55555555555554,50.78,41.67,24.0,10.0,10.222222222222221,38.666666666666664,0.5555555555555556,6.444444444444445,2.888888888888889,36.111111111111114,2.3333333333333335,20.88888888888889,1.6666666666666667,0.5555555555555556,0.0,0.1111111111111111,0.5555555555555556,13.11111111111111,9.666666666666666,2.0,0.1111111111111111
40,Luxembourg,0.875,13.375,4.25,5.25,3.875,1.0,82.5,404.25,334.75,44.88,39.82,13.5,5.375,14.25,27.125,0.75,3.5,1.375,34.75,5.5,28.125,4.625,2.0,0.125,0.0,0.0,14.25,11.0,2.75,0.0
41,Bulgaria,0.7777777777777778,8.11111111111111,2.888888888888889,3.4444444444444446,1.7777777777777777,1.0,77.45,374.77777777777777,294.22222222222223,43.23,43.27,15.666666666666666,6.777777777777778,17.77777777777778,28.77777777777778,0.6666666666666666,4.444444444444445,3.2222222222222223,32.77777777777778,6.333333333333333,26.22222222222222,3.0,2.2222222222222223,0.0,0.0,0.2222222222222222,12.222222222222221,14.11111111111111,1.8888888888888888,0.0
42,Lithuania,0.625,8.375,2.625,3.625,2.125,1.0,77.13,334.125,257.125,36.5,37.62,13.625,5.125,15.125,23.5,0.5,4.625,1.25,32.0,4.5,20.75,5.875,3.125,0.0,0.0,0.0,12.0,12.875,2.375,0.25
43,Azerbaijan,0.625,7.25,2.125,2.75,2.375,1.0,82.0,399.5,330.125,43.0,42.7,11.125,4.75,13.375,19.0,0.25,2.875,1.375,36.375,6.125,32.125,4.875,2.25,0.125,0.0,0.0,11.75,11.125,3.0,0.0
44,Belarus,0.4444444444444444,10.222222222222221,2.6666666666666665,4.333333333333333,3.2222222222222223,1.0,79.56,361.8888888888889,288.3333333333333,41.67,41.41,17.444444444444443,7.222222222222222,12.11111111111111,26.555555555555557,0.4444444444444444,4.555555555555555,1.2222222222222223,32.888888888888886,5.777777777777778,29.77777777777778,3.2222222222222223,1.8888888888888888,0.0,0.0,0.1111111111111111,12.0,10.333333333333334,1.6666666666666667,0.0
45,Faroe Islands,0.4,6.1,2.0,2.9,1.2,1.0,79.1,400.9,323.4,42.0,41.11,16.3,6.7,12.3,18.3,0.3,3.8,1.1,31.6,4.2,31.8,4.0,3.0,0.1,0.0,0.1,11.4,10.4,1.9,0.0
46,Moldova,0.4,6.0,1.6,3.0,1.4,1.0,76.3,367.4,284.8,42.0,42.03,13.8,5.8,14.8,18.7,0.3,3.3,0.8,30.3,8.0,28.8,3.5,2.6,0.1,0.2,0.1,13.0,11.9,2.9,0.2
47,Latvia,0.3,7.9,2.3,3.4,2.2,1.0,73.2,294.2,219.7,37.3,37.4,11.5,4.3,14.1,18.5,0.2,2.9,1.9,32.2,7.6,34.1,5.8,2.8,0.2,0.0,0.1,15.5,11.9,2.9,0.1
48,Malta,0.3,6.8,1.3,3.1,2.4,1.0,75.3,307.3,234.4,35.4,44.22,9.5,4.2,14.3,14.8,0.2,1.9,1.5,31.7,8.6,32.2,4.9,2.7,0.1,0.2,0.0,10.5,10.7,1.5,0.1
49,Montenegro,0.375,8.25,3.0,2.375,2.875,1.0,78.5,366.75,289.625,44.88,35.17,11.375,4.0,20.125,24.375,0.125,3.375,1.875,32.75,5.875,21.375,3.375,2.75,0.25,0.0,0.125,13.75,17.5,2.375,0.0
50,Andorra,0.3,4.6,1.1,2.3,1.2,1.0,55.7,172.7,98.3,29.3,42.11,7.6,3.2,13.4,13.4,0.3,1.4,0.8,22.2,8.5,40.2,4.3,2.0,0.0,0.2,0.1,18.3,11.0,2.8,0.0
51,Gibraltar,0.375,4.125,1.625,1.625,0.875,1.0,65.5,232.5,154.125,30.88,43.59,4.875,2.125,14.125,11.0,0.25,1.5,0.75,26.375,5.125,39.75,6.125,3.875,0.125,0.0,0.0,8.125,11.125,1.875,0.0
52,Estonia,0.25,6.875,1.875,3.5,1.5,1.0,77.0,346.75,268.75,39.25,37.08,11.125,4.125,12.5,18.0,0.125,2.5,1.0,30.75,6.75,27.125,5.5,3.25,0.125,0.0,0.125,8.625,9.0,1.125,0.0
53,Liechtenstein,0.2,4.5,1.5,2.2,0.8,1.0,70.41,273.8,195.9,30.6,25.0,5.2,1.3,13.5,11.7,0.2,1.7,1.0,26.0,6.1,41.9,6.8,3.1,0.0,0.0,0.0,8.3,10.1,1.0,0.1
54,San Marino,0.1,2.8,1.2,1.4,0.2,1.0,59.6,194.6,116.5,25.8,36.12,3.6,1.3,14.1,9.5,0.1,0.8,1.0,24.9,6.9,39.8,8.1,5.1,0.3,0.1,0.0,11.2,12.2,2.2,0.0
