,team_name,goals,attempts,attempts_on_target,attempts_off_target,attempts_blocked,matches_appearance,passes_accuracy,passes_attempted,passes_completed,ball_possession,cross_accuracy,cross_attempted,cross_completed,free_kick,attacks,assists,corners,offsides,recovered_ball,tackles,clearance_attempted,saves,goals_conceded,own_goal_conceded,saves_on_penalty,clean_sheet,fouls_committed,fouls_suffered,yellow_cards,red_cards
0,Belgium,40.0,207.0,92.0,78.0,37.0,10.0,89.0,7115.0,6344.0,62.3,52.06,267.0,139.0,111.0,480.0,33.0,87.0,20.0,375.0,25.0,106.0,16.0,3.0,0.0,0.0,7.0,110.0,86.0,6.0,0.0
1,Italy,37.0,205.0,81.0,75.0,49.0,10.0,89.5,6809.0,6099.0,65.3,50.45,226.0,114.0,126.0,408.0,27.0,73.0,25.0,340.0,43.0,114.0,21.0,4.0,0.0,0.0,6.0,104.0,106.0,12.0,0.0
2,England,37.0,110.0,64.0,21.0,25.0,8.0,89.0,5478.0,4896.0,62.0,45.95,148.0,68.0,75.0,316.0,27.0,34.0,13.0,264.0,20.0,99.0,20.0,6.0,0.0,0.0,5.0,82.0,71.0,9.0,0.0
3,Russia,33.0,207.0,76.0,87.0,43.0,10.0,85.4,6108.0,5240.0,60.0,51.78,309.0,160.0,111.0,485.0,23.0,87.0,27.0,392.0,30.0,144.0,14.0,8.0,0.0,0.0,7.0,118.0,89.0,11.0,1.0
4,Spain,31.0,227.0,83.0,80.0,64.0,10.0,90.8,7888.0,7172.0,70.41,52.88,331.0,175.0,118.0,542.0,26.0,100.0,24.0,340.0,41.0,126.0,18.0,5.0,0.0,0.0,5.0,86.0,111.0,18.0,1.0
5,Germany,30.0,159.0,68.0,57.0,34.0,8.0,90.13,6236.0,5656.0,62.13,53.48,144.0,77.0,78.0,342.0,26.0,54.0,23.0,277.0,22.0,120.0,20.0,7.0,1.0,1.0,5.0,69.0,67.0,3.0,1.0
6,France,25.0,169.0,67.0,78.0,24.0,10.0,89.5,7368.0,6616.0,67.91,49.43,261.0,129.0,115.0,504.0,21.0,69.0,33.0,339.0,32.0,99.0,10.0,6.0,0.0,0.0,5.0,112.0,93.0,14.0,0.0
7,Netherlands,24.0,141.0,59.0,49.0,33.0,8.0,88.75,5406.0,4801.0,65.38,50.26,193.0,97.0,88.0,342.0,21.0,40.0,18.0,298.0,33.0,87.0,11.0,7.0,0.0,0.0,4.0,87.0,75.0,9.0,0.0
8,Sweden,23.0,147.0,63.0,46.0,38.0,10.0,83.3,4786.0,4061.0,51.1,47.2,214.0,101.0,143.0,338.0,18.0,57.0,18.0,343.0,23.0,235.0,25.0,9.0,0.0,0.0,5.0,130.0,122.0,16.0,0.0
9,Denmark,23.0,139.0,50.0,58.0,31.0,8.0,85.25,4541.0,3895.0,56.75,46.02,163.0,75.0,107.0,297.0,15.0,51.0,12.0,291.0,19.0,149.0,14.0,6.0,0.0,0.0,4.0,83.0,87.0,7.0,0.0
