,team_name,goals,attempts,attempts_on_target,attempts_off_target,attempts_blocked,matches_appearance,passes_accuracy,passes_attempted,passes_completed,ball_possession,cross_accuracy,cross_attempted,cross_completed,free_kick,attacks,assists,corners,offsides,recovered_ball,tackles,clearance_attempted,saves,goals_conceded,own_goal_conceded,saves_on_penalty,clean_sheet,fouls_committed,fouls_suffered,yellow_cards,red_cards
10,Portugal,22.0,181.0,69.0,63.0,49.0,8.0,88.13,5265.0,4656.0,61.0,42.86,245.0,105.0,96.0,332.0,13.0,71.0,15.0,337.0,16.0,78.0,14.0,6.0,0.0,0.0,4.0,81.0,89.0,6.0,0.0
11,Bosnia and Herzegovina,21.0,197.0,69.0,73.0,55.0,11.0,86.37,5937.0,5174.0,54.1,51.75,286.0,148.0,142.0,436.0,16.0,74.0,28.0,372.0,48.0,193.0,39.0,18.0,2.0,0.0,2.0,133.0,120.0,20.0,1.0
12,Serbia,20.0,141.0,62.0,49.0,30.0,10.0,83.5,5368.0,4526.0,53.2,49.57,232.0,115.0,126.0,339.0,16.0,55.0,19.0,329.0,35.0,204.0,27.0,19.0,0.0,0.0,0.0,134.0,104.0,19.0,0.0
13,Norway,20.0,127.0,47.0,46.0,34.0,11.0,80.73,5442.0,4486.0,52.73,47.69,302.0,144.0,124.0,405.0,15.0,69.0,29.0,391.0,36.0,225.0,40.0,13.0,1.0,2.0,3.0,145.0,113.0,13.0,0.0
14,Austria,19.0,191.0,65.0,77.0,49.0,10.0,84.6,5603.0,4756.0,59.1,50.0,264.0,132.0,154.0,359.0,15.0,68.0,27.0,404.0,45.0,169.0,22.0,9.0,1.0,0.0,4.0,150.0,120.0,19.0,0.0
15,Switzerland,19.0,176.0,57.0,71.0,48.0,8.0,86.38,4585.0,3974.0,61.38,46.97,247.0,116.0,120.0,406.0,15.0,68.0,20.0,269.0,27.0,117.0,15.0,6.0,0.0,0.0,4.0,89.0,95.0,14.0,0.0
16,Romania,18.0,164.0,61.0,65.0,38.0,11.0,82.28,4909.0,4078.0,49.0,51.19,211.0,108.0,142.0,360.0,12.0,55.0,21.0,385.0,62.0,281.0,30.0,17.0,1.0,0.0,3.0,131.0,121.0,23.0,1.0
17,Poland,18.0,139.0,49.0,55.0,35.0,10.0,83.2,4754.0,3981.0,52.8,45.62,228.0,104.0,151.0,358.0,12.0,59.0,19.0,315.0,50.0,225.0,27.0,5.0,0.0,0.0,7.0,150.0,121.0,18.0,0.0
18,Türkiye,18.0,135.0,51.0,58.0,26.0,10.0,84.9,5425.0,4662.0,59.0,50.78,193.0,98.0,181.0,346.0,13.0,42.0,24.0,324.0,45.0,172.0,23.0,3.0,0.0,0.0,8.0,133.0,155.0,23.0,0.0
19,Scotland,17.0,167.0,54.0,59.0,54.0,12.0,81.67,6065.0,4992.0,51.34,43.71,286.0,125.0,161.0,479.0,11.0,72.0,9.0,478.0,44.0,295.0,36.0,20.0,1.0,0.0,3.0,136.0,136.0,20.0,0.0
20,Iceland,17.0,147.0,52.0,60.0,35.0,12.0,76.59,4531.0,3540.0,46.09,46.76,231.0,108.0,182.0,385.0,14.0,47.0,23.0,414.0,59.0,291.0,27.0,14.0,0.0,0.0,5.0,157.0,152.0,18.0,0.0
21,Croatia,17.0,142.0,47.0,56.0,39.0,8.0,89.0,4828.0,4307.0,61.38,46.81,188.0,88.0,105.0,368.0,12.0,59.0,14.0,292.0,35.0,115.0,25.0,7.0,0.0,0.0,2.0,97.0,79.0,17.0,0.0
22,Ukraine,17.0,110.0,42.0,42.0,26.0,8.0,87.88,4175.0,3686.0,54.13,46.98,149.0,70.0,118.0,242.0,13.0,34.0,9.0,251.0,31.0,166.0,32.0,4.0,0.0,0.0,5.0,96.0,98.0,15.0,1.0
23,Israel,16.0,155.0,60.0,61.0,34.0,11.0,83.1,5709.0,4753.0,54.37,42.86,203.0,87.0,169.0,387.0,13.0,44.0,17.0,432.0,48.0,227.0,38.0,18.0,0.0,0.0,2.0,134.0,140.0,24.0,0.0
24,Slovenia,16.0,140.0,51.0,41.0,48.0,10.0,80.8,4493.0,3686.0,51.2,43.0,200.0,86.0,178.0,314.0,13.0,51.0,21.0,316.0,33.0,218.0,33.0,11.0,0.0,0.0,3.0,147.0,155.0,17.0,2.0
25,Albania,16.0,119.0,35.0,45.0,39.0,10.0,82.1,4961.0,4108.0,54.2,46.4,194.0,90.0,190.0,327.0,11.0,38.0,24.0,294.0,43.0,175.0,16.0,14.0,0.0,0.0,3.0,131.0,175.0,26.0,0.0
26,Finland,16.0,115.0,46.0,42.0,27.0,10.0,85.9,5352.0,4637.0,51.2,47.98,148.0,71.0,124.0,340.0,7.0,44.0,12.0,369.0,52.0,217.0,29.0,10.0,0.0,0.0,6.0,123.0,109.0,15.0,0.0
27,North Macedonia,15.0,141.0,51.0,48.0,42.0,12.0,78.34,4453.0,3505.0,45.42,46.43,168.0,78.0,220.0,294.0,11.0,51.0,26.0,448.0,55.0,244.0,41.0,14.0,2.0,0.0,3.0,148.0,194.0,36.0,1.0
28,Cyprus,15.0,131.0,44.0,55.0,32.0,10.0,81.6,4727.0,3941.0,53.9,40.12,177.0,71.0,160.0,313.0,10.0,57.0,19.0,333.0,64.0,203.0,38.0,20.0,1.0,0.0,2.0,89.0,136.0,14.0,1.0
29,Slovakia,15.0,125.0,52.0,47.0,26.0,10.0,86.6,5726.0,4985.0,52.6,49.36,154.0,76.0,143.0,332.0,9.0,35.0,30.0,348.0,27.0,223.0,44.0,12.0,1.0,0.0,3.0,125.0,124.0,24.0,2.0
30,Armenia,14.0,143.0,53.0,59.0,31.0,10.0,77.5,3571.0,2826.0,42.5,42.31,156.0,66.0,123.0,337.0,11.0,38.0,27.0,345.0,49.0,208.0,45.0,25.0,1.0,0.0,1.0,133.0,101.0,24.0,1.0
31,Kosovo,14.0,104.0,39.0,46.0,19.0,9.0,80.23,3883.0,3135.0,49.23,38.86,175.0,68.0,133.0,258.0,8.0,48.0,22.0,314.0,44.0,210.0,32.0,18.0,2.0,1.0,1.0,128.0,115.0,23.0,0.0
32,Hungary,13.0,132.0,50.0,40.0,42.0,10.0,82.7,4527.0,3767.0,49.3,43.68,174.0,76.0,172.0,325.0,7.0,55.0,19.0,320.0,67.0,231.0,30.0,13.0,0.0,1.0,2.0,150.0,138.0,27.0,2.0
33,Czechia,13.0,131.0,42.0,62.0,27.0,8.0,81.0,3458.0,2805.0,51.63,49.76,201.0,100.0,105.0,303.0,10.0,57.0,11.0,301.0,50.0,167.0,20.0,11.0,1.0,0.0,2.0,130.0,80.0,16.0,0.0
34,Kazakhstan,13.0,119.0,48.0,52.0,19.0,10.0,80.2,4440.0,3599.0,45.0,56.42,117.0,66.0,112.0,240.0,12.0,41.0,20.0,394.0,66.0,263.0,32.0,17.0,1.0,0.0,2.0,147.0,91.0,30.0,0.0
35,Greece,12.0,180.0,56.0,71.0,53.0,10.0,86.3,5692.0,4982.0,56.4,47.66,256.0,122.0,150.0,470.0,10.0,67.0,22.0,332.0,49.0,182.0,19.0,14.0,0.0,0.0,2.0,112.0,118.0,25.0,0.0
36,Northern Ireland,11.0,108.0,30.0,42.0,36.0,10.0,75.1,3785.0,2902.0,43.2,45.2,250.0,113.0,138.0,356.0,6.0,53.0,23.0,357.0,41.0,238.0,32.0,16.0,0.0,0.0,3.0,121.0,121.0,14.0,0.0
37,Wales,10.0,103.0,41.0,35.0,27.0,8.0,83.5,3135.0,2644.0,46.13,52.31,130.0,68.0,137.0,229.0,6.0,28.0,16.0,263.0,29.0,151.0,19.0,6.0,1.0,0.0,3.0,102.0,114.0,21.0,0.0
38,Georgia,8.0,125.0,37.0,52.0,36.0,10.0,80.5,4552.0,3705.0,51.0,43.92,148.0,65.0,118.0,273.0,6.0,33.0,17.0,354.0,34.0,189.0,36.0,12.0,0.0,0.0,4.0,138.0,95.0,23.0,0.0
39,Republic of Ireland,7.0,110.0,26.0,55.0,29.0,9.0,78.0,4061.0,3191.0,50.78,41.67,216.0,90.0,92.0,348.0,5.0,58.0,26.0,325.0,21.0,188.0,15.0,5.0,0.0,1.0,5.0,118.0,87.0,18.0,1.0
40,Luxembourg,7.0,107.0,34.0,42.0,31.0,8.0,82.5,3234.0,2678.0,44.88,39.82,108.0,43.0,114.0,217.0,6.0,28.0,11.0,278.0,44.0,225.0,37.0,16.0,1.0,0.0,0.0,114.0,88.0,22.0,0.0
41,Bulgaria,7.0,73.0,26.0,31.0,16.0,9.0,77.45,3373.0,2648.0,43.23,43.27,141.0,61.0,160.0,259.0,6.0,40.0,29.0,295.0,57.0,236.0,27.0,20.0,0.0,0.0,2.0,110.0,127.0,17.0,0.0
42,Lithuania,5.0,67.0,21.0,29.0,17.0,8.0,77.13,2673.0,2057.0,36.5,37.62,109.0,41.0,121.0,188.0,4.0,37.0,10.0,256.0,36.0,166.0,47.0,25.0,0.0,0.0,0.0,96.0,103.0,19.0,2.0
43,Azerbaijan,5.0,58.0,17.0,22.0,19.0,8.0,82.0,3196.0,2641.0,43.0,42.7,89.0,38.0,107.0,152.0,2.0,23.0,11.0,291.0,49.0,257.0,39.0,18.0,1.0,0.0,0.0,94.0,89.0,24.0,0.0
44,Belarus,4.0,92.0,24.0,39.0,29.0,9.0,79.56,3257.0,2595.0,41.67,41.41,157.0,65.0,109.0,239.0,4.0,41.0,11.0,296.0,52.0,268.0,29.0,17.0,0.0,0.0,1.0,108.0,93.0,15.0,0.0
45,Faroe Islands,4.0,61.0,20.0,29.0,12.0,10.0,79.1,4009.0,3234.0,42.0,41.11,163.0,67.0,123.0,183.0,3.0,38.0,11.0,316.0,42.0,318.0,40.0,30.0,1.0,0.0,1.0,114.0,104.0,19.0,0.0
46,Moldova,4.0,60.0,16.0,30.0,14.0,10.0,76.3,3674.0,2848.0,42.0,42.03,138.0,58.0,148.0,187.0,3.0,33.0,8.0,303.0,80.0,288.0,35.0,26.0,1.0,2.0,1.0,130.0,119.0,29.0,2.0
47,Latvia,3.0,79.0,23.0,34.0,22.0,10.0,73.2,2942.0,2197.0,37.3,37.4,115.0,43.0,141.0,185.0,2.0,29.0,19.0,322.0,76.0,341.0,58.0,28.0,2.0,0.0,1.0,155.0,119.0,29.0,1.0
48,Malta,3.0,68.0,13.0,31.0,24.0,10.0,75.3,3073.0,2344.0,35.4,44.22,95.0,42.0,143.0,148.0,2.0,19.0,15.0,317.0,86.0,322.0,49.0,27.0,1.0,2.0,0.0,105.0,107.0,15.0,1.0
49,Montenegro,3.0,66.0,24.0,19.0,23.0,8.0,78.5,2934.0,2317.0,44.88,35.17,91.0,32.0,161.0,195.0,1.0,27.0,15.0,262.0,47.0,171.0,27.0,22.0,2.0,0.0,1.0,110.0,140.0,19.0,0.0
50,Andorra,3.0,46.0,11.0,23.0,12.0,10.0,55.7,1727.0,983.0,29.3,42.11,76.0,32.0,134.0,134.0,3.0,14.0,8.0,222.0,85.0,402.0,43.0,20.0,0.0,2.0,1.0,183.0,110.0,28.0,0.0
51,Gibraltar,3.0,33.0,13.0,13.0,7.0,8.0,65.5,1860.0,1233.0,30.88,43.59,39.0,17.0,113.0,88.0,2.0,12.0,6.0,211.0,41.0,318.0,49.0,31.0,1.0,0.0,0.0,65.0,89.0,15.0,0.0
52,Estonia,2.0,55.0,15.0,28.0,12.0,8.0,77.0,2774.0,2150.0,39.25,37.08,89.0,33.0,100.0,144.0,1.0,20.0,8.0,246.0,54.0,217.0,44.0,26.0,1.0,0.0,1.0,69.0,72.0,9.0,0.0
53,Liechtenstein,2.0,45.0,15.0,22.0,8.0,10.0,70.41,2738.0,1959.0,30.6,25.0,52.0,13.0,135.0,117.0,2.0,17.0,10.0,260.0,61.0,419.0,68.0,31.0,0.0,0.0,0.0,83.0,101.0,10.0,1.0
54,San Marino,1.0,28.0,12.0,14.0,2.0,10.0,59.6,1946.0,1165.0,25.8,36.12,36.0,13.0,141.0,95.0,1.0,8.0,10.0,249.0,69.0,398.0,81.0,51.0,3.0,1.0,0.0,112.0,122.0,22.0,0.0
